endTime,artistName,trackName,msPlayed
2023-12-11 09:59,Taylor Swift,You Belong With Me,232120
2023-12-11 10:03,Katy Perry,Hot N Cold,220226
2023-12-11 10:06,Rihanna,Breakin' Dishes,200573
2023-12-11 10:11,Rihanna,Umbrella,275986
2023-12-11 10:15,Black Eyed Peas,Let's Get It Started - Spike Mix,217733
2023-12-11 10:18,Paramore,Still into You,216013
2023-12-11 10:22,Doja Cat,Paint The Town Red,230480
2023-12-11 10:38,Maroon 5,This Love,12794
2023-12-11 10:38,Ariana Grande,Break Free,191063
2023-12-11 10:38,Spice Girls,Wannabe,20387
2023-12-11 10:42,Charlie Puth,Light Switch,187703
2023-12-11 10:45,BLACKPINK,Pink Venom,186964
2023-12-11 10:48,Olivia Rodrigo,good 4 u,178146
2023-12-11 10:51,BLACKPINK,Typa Girl,179172
2023-12-11 10:53,OneRepublic,Sunshine,163854
2023-12-11 10:57,Ellie Goulding,Lights,243866
2023-12-11 11:01,Conan Gray,Maniac,185773
2023-12-11 11:03,Pink Sweat$,I Feel Good,136058
2023-12-11 11:06,Taylor Swift,Lavender Haze,202395
2023-12-11 11:09,Ariana Grande,boyfriend (with Social House),186106
2023-12-11 11:12,SZA,Kill Bill,153946
2023-12-11 11:14,vaultboy,rocket science,152987
2023-12-11 11:17,One Direction,Kiss You,182866
2023-12-11 11:21,Jackson Wang,LMLY,209998
2023-12-11 11:24,Post Malone,Wrapped Around Your Finger,193565
2023-12-11 11:27,Mae Stephens,If We Ever Broke Up,142758
2023-12-11 11:30,Chris James,Not Angry,199687
2023-12-11 11:33,TWICE,The Feels,198053
2023-12-11 11:36,Why Don't We,How Do You Love Somebody,180065
2023-12-11 11:40,WILLOW,Wait a Minute!,196520
2023-12-11 11:43,The Weeknd,Save Your Tears,215626
2023-12-11 11:46,BLACKPINK,Tally,184248
2023-12-11 11:49,BLACKPINK,How You Like That,180956
2023-12-11 11:52,Taylor Swift,Cruel Summer,178426
2023-12-11 11:55,Doja Cat,Woman,172626
2023-12-11 11:58,BLACKPINK,Lovesick Girls,192765
2023-12-11 12:02,Ariana Grande,Into You,244453
2023-12-11 12:06,NIKI,Every Summertime,215686
2023-12-11 12:09,BLACKPINK,Hard to Love,162569
2023-12-11 12:12,Shawn Mendes,Lost In Japan,201200
2023-12-11 15:16,Chris James,The Cool Kid,99574
2023-12-11 16:13,Ariana Grande,Break Free,27585
2023-12-11 16:17,Rihanna,Shut Up And Drive,22229
2023-12-11 16:17,Rihanna,Shut Up And Drive,212280
2023-12-11 16:25,Rihanna,Shut Up And Drive,190051
2023-12-11 16:29,Paramore,Ain't It Fun,271468
2023-12-11 16:33,Maroon 5,This Love,193654
2023-12-11 17:23,Rascal Flatts,Life is a Highway,275640
2023-12-11 17:23,Bruno Mars,Runaway Baby,10417
2023-12-11 17:37,Rascal Flatts,Life is a Highway,803557
2023-12-11 17:39,Bruno Mars,Runaway Baby,148448
2023-12-11 17:43,Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",201493
2023-12-11 17:46,Carly Rae Jepsen,Call Me Maybe,193400
2023-12-11 17:49,Neon Trees,Everybody Talks,177280
2023-12-11 17:50,Creedence Clearwater Revival,Fortunate Son,31275
2023-12-11 21:44,Harry Styles,As It Was,84683
2023-12-11 21:47,Sheryl Crow,Real Gone,200733
2023-12-11 21:50,The Cardigans,Lovefool,193953
2023-12-11 21:54,a-ha,Take on Me,225280
2023-12-11 21:58,Redbone,Come and Get Your Love - Single Version,205933
2023-12-11 22:00,Bruno Mars,Runaway Baby,148448
2023-12-11 22:00,Neon Trees,Everybody Talks,2174
2023-12-11 22:01,Lady Gaga,Just Dance,68034
2023-12-11 22:02,Simple Plan,What's New Scooby-Doo?,33970
2023-12-11 22:05,The Offspring,"You're Gonna Go Far, Kid",177826
2023-12-11 22:06,Tears For Fears,Everybody Wants To Rule The World,74561
2023-12-11 22:09,Carly Rae Jepsen,Call Me Maybe,193400
2023-12-11 22:10,Maroon 5,Misery,7579
2023-12-11 22:12,Blue Swede,Hooked On A Feeling,172866
2023-12-11 22:16,Bon Jovi,You Give Love A Bad Name,222706
2023-12-11 22:18,Sheryl Crow,All I Wanna Do,86912
2023-12-11 22:18,Rupert Holmes,Escape (The Pina Colada Song),2438
2023-12-11 22:18,Taylor Swift,Shake It Off,1741
2023-12-11 22:18,Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",1741
2023-12-11 22:18,Green Day,American Idiot,1764
2023-12-11 22:18,ABBA,Mamma Mia,1602
2023-12-11 22:18,Elton John,I'm Still Standing,2484
2023-12-11 22:20,Gloria Gaynor,I Will Survive,15325
2023-12-11 22:20,KT Tunstall,Suddenly I See,1857
2023-12-11 22:20,Sheryl Crow,If It Makes You Happy,138808
2023-12-11 22:23,Charlie Puth,Light Switch,187703
2023-12-11 22:24,Tessa Violet,Crush,41952
2023-12-11 22:24,Charlie Puth,Light Switch,4481
2023-12-11 22:27,Olivia Rodrigo,"jealousy, jealousy",173160
2023-12-11 22:30,BLACKPINK,Lovesick Girls,192765
2023-12-11 22:34,Post Malone,Wrapped Around Your Finger,193565
2023-12-11 22:35,Conan Gray,Maniac,69315
2023-12-11 22:37,OneRepublic,I Ain't Worried,148485
2023-12-11 22:39,Chris James,The Cool Kid,130768
2023-12-11 23:44,Lady Gaga,Shallow,215733
2023-12-11 23:48,Carly Rae Jepsen,This Kiss,228866
2023-12-11 23:52,Juice WRLD,Lucid Dreams,239835
2023-12-11 23:55,Carly Rae Jepsen,I Really Like You,204763
2023-12-11 23:59,Rick James,Super Freak,205466
2023-12-12 00:02,Britney Spears,Toxic,198800
2023-12-12 00:05,Iyaz,Replay,182306
2023-12-12 00:08,Go-Jo,Mrs. Hollywood,143840
2023-12-12 00:11,Falling In Reverse,Bad Girls Club,221730
2023-12-12 00:15,Carly Rae Jepsen,First Time,215800
2023-12-12 00:19,Gorillaz,Feel Good Inc.,222640
2023-12-12 00:23,Niall Horan,This Town,232852
2023-12-12 00:25,Lil Nas X,THATS WHAT I WANT,143901
2023-12-12 00:28,Thirty Seconds To Mars,Dangerous Night,199773
2023-12-12 00:32,The Script,Superheroes,245466
2023-12-12 00:35,Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,158040
2023-12-12 00:38,Charlie Puth,How Long,200853
2023-12-12 00:42,T-Pain,Bartender (feat. Akon),238800
2023-12-12 00:46,Charlie Puth,Light Switch,187703
2023-12-12 00:49,Carly Rae Jepsen,Curiosity,213120
2023-12-12 00:51,Shawn Mendes,In My Blood,2345
2023-12-12 00:51,Alicia Bridges,I Love The Nightlife (Disco 'Round),99715
2023-12-12 00:51,The Chainsmokers,Takeaway,1695
2023-12-12 00:54,Ashanti,Body On Me,3134
2023-12-12 00:54,dark cat,Crazy Milk,188603
2023-12-12 00:56,NF,Let You Down,4398
2023-12-12 00:56,Carly Rae Jepsen,Sideways,136093
2023-12-12 00:57,P!nk,Blow Me (One Last Kiss),7755
2023-12-12 01:00,Avril Lavigne,Girlfriend,216600
2023-12-12 01:04,Carly Rae Jepsen,Last Christmas,212453
2023-12-12 01:06,gamaliél,"A Whole New World - From ""Aladdin""",159677
2023-12-12 01:11,Daryl Hall & John Oates,Out of Touch,249573
2023-12-12 01:13,JAY-Z,Numb / Encore,164632
2023-12-12 01:13,Tsuko G.,Gas Gas Gas (Initial D),4063
2023-12-12 01:16,OMI,Cheerleader (Felix Jaehn Remix) - Radio Edit,180565
2023-12-12 02:14,Harry Styles,Sign of the Times,22132
